# Joint PDF of model "actual" Chl-a vs CDOM, digitized from Fig. 10a of
# Dutkiewicz et al. (2018), Biogeosciences 15, 613-630,
# doi:10.5194/bg-15-613-2018, by robust/dutkiewicz2018_fig10.py.
# Bin centres on a regular log10 grid (40 bins per decade).
# count    : mean per-native-bin sample count from the colorbar (relative density)
# fraction : count normalized to sum to 1 over all listed bins
# CDOM in mmol C m-3; Chl in mg m-3.
log10_CDOM,log10_Chl,CDOM,Chl,count,fraction
-1.9625,-1.7125,0.0109018,0.0193865,1010.28,2.841581e-04
-1.9625,-1.6875,0.0109018,0.0205353,922.43,2.594487e-04
-1.9625,-1.6625,0.0109018,0.021752,1152.03,3.240285e-04
-1.9625,-1.6375,0.0109018,0.0230409,1242.8,3.495595e-04
-1.9625,-1.6125,0.0109018,0.0244062,1024.19,2.880707e-04
-1.9625,-1.5875,0.0109018,0.0258523,911.812,2.564624e-04
-1.9625,-1.5625,0.0109018,0.0273842,531.65,1.495355e-04
-1.9625,-1.5375,0.0109018,0.0290068,336.512,9.464961e-05
-1.9625,-1.5125,0.0109018,0.0307256,161.873,4.552948e-05
-1.9625,-1.4875,0.0109018,0.0325462,53.7907,1.512954e-05
-1.9625,-1.4625,0.0109018,0.0344747,11.8069,3.320898e-06
-1.9375,-1.9625,0.0115478,0.0109018,0.0751785,2.114522e-08
-1.9375,-1.9375,0.0115478,0.0115478,0.481143,1.353294e-07
-1.9375,-1.9125,0.0115478,0.0122321,1.39042,3.910781e-07
-1.9375,-1.8875,0.0115478,0.0129569,2.92095,8.215667e-07
-1.9375,-1.8625,0.0115478,0.0137246,114.396,3.217577e-05
-1.9375,-1.8375,0.0115478,0.0145378,650.272,1.828997e-04
-1.9375,-1.8125,0.0115478,0.0153993,1074.79,3.023022e-04
-1.9375,-1.7875,0.0115478,0.0163117,1131.81,3.183413e-04
-1.9375,-1.7625,0.0115478,0.0172783,1174.42,3.303250e-04
-1.9375,-1.7375,0.0115478,0.0183021,1350.74,3.799184e-04
-1.9375,-1.7125,0.0115478,0.0193865,1295.23,3.643051e-04
-1.9375,-1.6875,0.0115478,0.0205353,1065.81,2.997779e-04
-1.9375,-1.6625,0.0115478,0.021752,1057.99,2.975767e-04
