# In situ Chl-a and CDOM shared by Raphe Kudela (UCSC), expressed in
# the units of Dutkiewicz et al. (2018) Fig. 10a.
# source: field  = CDOM_TChla.csv (789 Pacific/Arctic samples, 2010-2017;
#                  distinct near-surface samples, Chl-a by HPLC --
#                  R. Kudela via Q&A in claude_prompts/dutkiewicz_priors.md)
#         GLORIA = GLORIA_meta_and_lab.csv (Lehmann et al. 2023), rows with
#                  both Chla and aCDOM440
# Chl in mg m-3 (as reported);
# CDOM (mmol C m-3) = aCDOM440 * exp(-0.021*10) / 0.18
#   (shift to 450 nm with the Darwin spectral slope, then invert ccdom(450))
# QC: rows with non-positive Chl or aCDOM440 dropped.
# Written by robust/dutkiewicz2018_fig10.py.
source,Chl,aCDOM440,CDOM
field,6.788,0.049,0.220659
field,6.788,0.049,0.220659
field,6.788,0.049,0.220659
field,6.788,0.049,0.220659
field,0.629,0.038,0.171123
field,0.629,0.038,0.171123
field,0.629,0.038,0.171123
field,0.421,0.041,0.184633
field,0.421,0.041,0.184633
field,0.421,0.041,0.184633
field,0.421,0.041,0.184633
field,0.626,0.038,0.171123
field,0.626,0.038,0.171123
field,0.626,0.038,0.171123
field,0.626,0.038,0.171123
field,0.837,0.021,0.0945682
field,0.837,0.021,0.0945682
field,0.837,0.021,0.0945682
field,0.837,0.021,0.0945682
field,0.837,0.021,0.0945682
field,0.351,0.04,0.18013
field,0.351,0.04,0.18013
field,0.351,0.04,0.18013
field,0.351,0.04,0.18013
field,0.758,0.033,0.148607
field,0.758,0.033,0.148607
field,0.758,0.033,0.148607
field,0.758,0.033,0.148607
field,0.758,0.033,0.148607
field,0.636,0.024,0.108078
field,0.636,0.024,0.108078
field,0.636,0.024,0.108078
field,0.636,0.024,0.108078
field,0.395,0.032,0.144104
field,0.395,0.032,0.144104
field,0.395,0.032,0.144104
field,0.395,0.032,0.144104
field,1.547,0.038,0.171123
field,1.547,0.038,0.171123
field,1.547,0.038,0.171123
field,1.547,0.038,0.171123
field,1.606,0.044,0.198143
field,1.606,0.044,0.198143
field,1.606,0.044,0.198143
field,1.606,0.044,0.198143
field,0.521,0.036,0.162117
field,0.521,0.036,0.162117
field,0.521,0.036,0.162117
field,0.799,0.031,0.139601
field,0.799,0.031,0.139601
field,0.799,0.031,0.139601
field,0.799,0.031,0.139601
field,0.799,0.031,0.139601
field,0.522,0.054,0.243175
field,0.522,0.054,0.243175
field,0.522,0.054,0.243175
field,0.522,0.054,0.243175
field,0.522,0.054,0.243175
field,0.845,0.026,0.117084
field,0.845,0.026,0.117084
field,0.845,0.026,0.117084
field,0.845,0.026,0.117084
field,0.845,0.026,0.117084
field,0.082,0.014,0.0630454
field,0.082,0.014,0.0630454
field,0.061,0.007,0.0315227
field,0.292,0.018,0.0810584
field,0.292,0.018,0.0810584
field,0.292,0.018,0.0810584
field,0.292,0.018,0.0810584
field,0.287,0.017,0.0765552
field,0.287,0.017,0.0765552
field,0.287,0.017,0.0765552
field,0.287,0.017,0.0765552
field,0.924,0.045,0.202646
field,0.924,0.045,0.202646
field,0.924,0.045,0.202646
field,1.053,0.053,0.238672
field,1.053,0.053,0.238672
field,1.053,0.053,0.238672
field,1.053,0.053,0.238672
field,1.053,0.053,0.238672
field,0.484,0.093,0.418802
field,0.484,0.093,0.418802
field,0.484,0.093,0.418802
field,0.484,0.093,0.418802
field,0.484,0.093,0.418802
field,0.48,0.048,0.216156
field,0.48,0.048,0.216156
field,0.154,0.05,0.225162
field,0.154,0.05,0.225162
field,0.154,0.05,0.225162
field,0.154,0.05,0.225162
field,1.48,0.319,1.43654
field,1.48,0.319,1.43654
field,1.48,0.319,1.43654
field,1.48,0.319,1.43654
field,1.48,0.319,1.43654
field,1.48,0.319,1.43654
field,1.48,0.319,1.43654
field,1.48,0.319,1.43654
field,1.48,0.319,1.43654
field,1.48,0.319,1.43654
field,1.738,0.109,0.490854
field,1.738,0.109,0.490854
field,1.738,0.109,0.490854
field,1.738,0.109,0.490854
field,0.381,0.043,0.19364
field,0.381,0.043,0.19364
field,0.381,0.043,0.19364
field,0.406,0.039,0.175627
field,0.406,0.039,0.175627
field,0.406,0.039,0.175627
field,0.406,0.039,0.175627
field,3.177,0.051,0.229666
field,3.177,0.051,0.229666
field,3.177,0.051,0.229666
field,3.177,0.051,0.229666
field,3.177,0.051,0.229666
field,0.852,0.056,0.252182
field,0.852,0.056,0.252182
field,0.852,0.056,0.252182
field,0.852,0.056,0.252182
field,0.852,0.056,0.252182
field,0.83,0.065,0.292711
field,0.83,0.065,0.292711
field,0.54,0.05,0.225162
field,0.54,0.05,0.225162
field,0.4,0.032,0.144104
field,0.4,0.032,0.144104
field,0.4,0.032,0.144104
field,0.848,0.048,0.216156
field,0.848,0.048,0.216156
field,0.848,0.048,0.216156
field,0.848,0.048,0.216156
field,0.315,0.039,0.175627
field,0.315,0.039,0.175627
field,0.315,0.039,0.175627
field,0.73,0.058,0.261188
field,0.73,0.058,0.261188
